job_id,title,company_name,description,skills_desc,location,work_type,formatted_experience_level
101,Machine Learning Engineer,Anthropic,"We are looking for a Machine Learning Engineer to join our team. You will design, build and deploy ML models at scale. Strong background in deep learning and Python required.","Python, PyTorch, TensorFlow, Machine Learning, Deep Learning, MLflow, Docker, Kubernetes, SQL, Feature Engineering, Model Deployment, CI/CD Pipelines","San Francisco, CA",FULL_TIME,Mid-Senior level
102,Senior Data Scientist,Google,"Join our data science team to build predictive models that impact billions of users. You will work on large datasets and collaborate with cross-functional teams.","Python, R, Machine Learning, Statistical Modeling, SQL, Pandas, NumPy, Data Visualization, A/B Testing, BigQuery, Google Cloud Platform","Mountain View, CA",FULL_TIME,Senior level
103,Backend Software Engineer,Meta,"Build scalable backend systems that power our social platform. You will work on high-traffic distributed systems and collaborate with product teams.","Python, Java, Go, REST APIs, Microservices Architecture, SQL, PostgreSQL, Redis, Docker, Kubernetes, System Design, Distributed Systems","Menlo Park, CA",FULL_TIME,Mid-Senior level
104,Frontend Engineer,Netflix,"Build the next generation of streaming UI. You will develop high-performance React applications and work closely with designers.","JavaScript, TypeScript, React, HTML5, CSS3, Redux, Web Performance, REST API Integration, Git, Testing, Webpack","Los Gatos, CA",FULL_TIME,Mid-Senior level
105,DevOps Engineer,Amazon Web Services,"Join the team that powers the internet. You will manage infrastructure for millions of customers using AWS services.","AWS, Docker, Kubernetes, Terraform, CI/CD Pipelines, Linux, Bash Scripting, Monitoring, Infrastructure as Code, Python, Ansible","Seattle, WA",FULL_TIME,Senior level
106,Data Engineer,Airbnb,"Design and build data pipelines that process billions of events daily. You will work with Spark, Airflow and modern data stack.","Python, Apache Spark, Apache Airflow, SQL, dbt, Snowflake, Kafka, ETL Pipelines, Data Modeling, AWS, Docker","San Francisco, CA",FULL_TIME,Mid-Senior level
107,NLP Engineer,OpenAI,"Build and improve language model capabilities. You will work on fine-tuning, evaluation, and deployment of large language models.","Python, Natural Language Processing, Hugging Face Transformers, PyTorch, BERT, LLMs, Fine-tuning LLMs, Embeddings, Machine Learning, Deep Learning","San Francisco, CA",FULL_TIME,Senior level
108,Android Developer,Spotify,"Build the Android app used by hundreds of millions of music lovers. You will work on performance, features and platform integrations.","Kotlin, Java, Android Development, Android Studio, REST API Integration, SQLite, Firebase, MVVM Architecture, Jetpack Compose","Stockholm, Sweden",FULL_TIME,Mid level
109,iOS Developer,Apple,"Join the team building the world's most popular mobile apps. You will develop features in Swift and SwiftUI.","Swift, iOS Development, Xcode, UIKit, SwiftUI, REST API Integration, Core Data, Accessibility, App Store Deployment","Cupertino, CA",FULL_TIME,Senior level
110,Security Engineer,CrowdStrike,"Protect organizations from cyber threats. You will conduct penetration testing and build automated security tooling.","Network Security, Application Security, Penetration Testing, Python, Linux, Cryptography, OWASP, SIEM, Incident Response, Cloud Security","Austin, TX",FULL_TIME,Senior level
111,Full Stack Engineer,Stripe,"Build payment infrastructure that millions of businesses rely on. Work across our React frontend and Python/Go backend.","JavaScript, TypeScript, React, Node.js, Python, Go, SQL, PostgreSQL, MongoDB, Docker, REST APIs, System Design","San Francisco, CA",FULL_TIME,Mid-Senior level
